date,province_code,province,city_code,city,confirmed,suspected,cured,dead
20200121,430000,湖南省,430100,长沙市,1,0,0,0
20200121,440000,广东省,440100,广州市,2,0,0,0
20200121,440000,广东省,440200,韶关市,2,0,0,0
20200121,440000,广东省,440300,深圳市,14,0,0,0
20200121,440000,广东省,440400,珠海市,4,0,0,0
20200121,440000,广东省,440600,佛山市,1,0,0,0
20200121,440000,广东省,440800,湛江市,2,0,0,0
20200121,440000,广东省,441300,惠州市,1,0,0,0
20200121,500000,重庆市,500101,万州区,2,0,0,0
20200121,500000,重庆市,500115,长寿区,1,0,0,0
20200121,500000,重庆市,500237,巫山县,2,0,0,0
20200121,510000,四川省,510100,成都市,1,3,0,0
20200121,510000,四川省,510700,绵阳市,0,2,0,0
20200121,510000,四川省,511600,广安市,1,0,0,0
20200121,520000,贵州省,520100,贵阳市,0,1,0,0
20200122,110000,北京市,110102,西城区,2,0,0,0
20200122,110000,北京市,110105,朝阳区,1,0,0,0
20200122,110000,北京市,110106,丰台区,1,0,0,0
20200122,110000,北京市,110107,石景山区,1,0,0,0
20200122,110000,北京市,110108,海淀区,2,0,0,0
20200122,110000,北京市,110112,通州区,1,0,0,0
20200122,110000,北京市,110114,昌平区,2,0,0,0
20200122,110000,北京市,110115,大兴区,2,0,0,0
20200122,110000,北京市,,武汉来京,2,0,0,0
20200122,130000,河北省,130100,石家庄市,1,0,0,0
20200122,140000,山西省,140100,太原市,1,0,0,0
20200122,210000,辽宁省,210100,沈阳市,1,0,0,0
20200122,210000,辽宁省,210200,大连市,1,0,0,0
20200122,220000,吉林省,220100,长春市,1,0,0,0
20200122,230000,黑龙江省,231000,牡丹江市,1,0,0,0
20200122,320000,江苏省,320500,苏州市,1,0,0,0
20200122,330000,浙江省,330100,杭州市,1,0,0,0
20200122,330000,浙江省,330200,宁波市,3,0,0,0
20200122,330000,浙江省,330300,温州市,4,0,0,0
20200122,330000,浙江省,330900,舟山市,1,0,0,0
20200122,330000,浙江省,331000,台州市,1,0,0,0
20200122,340000,安徽省,340100,合肥市,1,3,0,0
20200122,340000,安徽省,341500,六安市,0,1,0,0
20200122,350000,福建省,350100,福州市,1,0,0,0
20200122,360000,江西省,360100,南昌市,1,0,0,0
20200122,360000,江西省,360300,萍乡市,1,0,0,0
20200122,360000,江西省,361000,抚州市,1,0,0,0
20200122,370000,山东省,370200,青岛市,3,0,0,0
20200122,370000,山东省,371000,威海市,1,0,0,0
20200122,370000,山东省,371300,临沂市,2,0,0,0
20200122,410000,河南省,410100,郑州市,2,0,0,0
20200122,410000,河南省,410181,巩义市,1,0,0,0
20200122,410000,河南省,410300,洛阳市,1,0,0,0
20200122,410000,河南省,411200,三门峡市,1,0,0,0
20200122,430000,湖南省,430100,长沙市,1,0,0,0
20200122,430000,湖南省,431200,怀化市,3,0,0,0
20200122,440000,广东省,440100,广州市,5,0,0,0
20200122,440000,广东省,440200,韶关市,2,0,0,0
20200122,440000,广东省,440300,深圳市,15,0,0,0
20200122,440000,广东省,440400,珠海市,4,0,0,0
20200122,440000,广东省,440600,佛山市,1,0,0,0
20200122,440000,广东省,440800,湛江市,2,0,0,0
20200122,440000,广东省,441200,肇庆市,1,0,0,0
20200122,440000,广东省,441300,惠州市,1,0,0,0
20200122,440000,广东省,442000,中山市,1,0,0,0
20200122,450000,广西壮族自治区,450200,柳州市,0,1,0,0
20200122,450000,广西壮族自治区,450400,梧州市,1,0,0,0
20200122,450000,广西壮族自治区,450500,北海市,1,0,0,0
20200122,460000,海南省,460100,海口市,1,10,0,0
20200122,460000,海南省,460200,三亚市,2,8,0,0
20200122,460000,海南省,460400,儋州市,0,3,0,0
20200122,460000,海南省,469001,五指山市,0,2,0,0
20200122,460000,海南省,469002,琼海市,0,1,0,0
20200122,460000,海南省,469005,文昌市,0,1,0,0
20200122,460000,海南省,469006,万宁市,1,1,0,0
20200122,460000,海南省,469007,东方市,0,1,0,0
20200122,460000,海南省,469024,临高县,1,2,0,0
20200122,460000,海南省,469026,昌江黎族自治县,0,2,0,0
20200122,460000,海南省,469030,琼中黎族苗族自治县,0,1,0,0
20200122,500000,重庆市,500101,万州区,2,0,0,0
20200122,500000,重庆市,500102,涪陵区,1,0,0,0
20200122,500000,重庆市,500115,长寿区,1,0,0,0
20200122,500000,重庆市,500118,永川区,2,0,0,0
20200122,500000,重庆市,500231,垫江县,1,0,0,0
20200122,500000,重庆市,500237,巫山县,2,0,0,0
20200122,510000,四川省,510100,成都市,2,2,0,0
20200122,510000,四川省,510700,绵阳市,2,0,0,0
20200122,510000,四川省,511600,广安市,1,0,0,0
20200122,520000,贵州省,520100,贵阳市,1,0,0,0
20200122,520000,贵州省,520600,铜仁市,1,0,0,0
20200122,520000,贵州省,522700,黔南布依族苗族自治州,1,0,0,0
20200122,610000,陕西省,610100,西安市,2,0,0,0
20200122,610000,陕西省,610400,咸阳市,1,0,0,0
20200122,610000,陕西省,610600,延安市,1,0,0,0
20200122,640000,宁夏回族自治区,640100,银川市,1,0,0,0
20200123,110000,北京市,110102,西城区,3,0,0,0
20200123,110000,北京市,110105,朝阳区,2,0,0,0
20200123,110000,北京市,110106,丰台区,1,0,0,0
20200123,110000,北京市,110107,石景山区,1,0,0,0
20200123,110000,北京市,110108,海淀区,3,0,0,0
20200123,110000,北京市,110112,通州区,2,0,0,0
20200123,110000,北京市,110114,昌平区,2,0,0,0
20200123,110000,北京市,110115,大兴区,2,0,0,0
20200123,110000,北京市,,外地来京,6,0,0,0
20200123,130000,河北省,130100,石家庄市,1,0,0,0
20200123,130000,河北省,130900,沧州市,1,0,0,1
20200123,140000,山西省,140100,太原市,1,0,0,0
20200123,150000,内蒙古自治区,150700,呼伦贝尔市,1,0,0,0
20200123,150000,内蒙古自治区,152500,锡林郭勒盟,0,2,0,0
20200123,210000,辽宁省,210100,沈阳市,2,0,0,0
20200123,210000,辽宁省,210200,大连市,1,0,0,0
20200123,210000,辽宁省,211300,朝阳市,1,0,0,0
20200123,220000,吉林省,220100,长春市,1,0,0,0
20200123,220000,吉林省,220200,吉林市,1,0,0,0
20200123,220000,吉林省,220700,松原市,1,0,0,0
20200123,230000,黑龙江省,230100,哈尔滨市,1,0,0,0
20200123,230000,黑龙江省,230600,大庆市,1,0,0,0
20200123,230000,黑龙江省,231000,牡丹江市,1,0,0,0
20200123,230000,黑龙江省,231200,绥化市,1,0,0,1
20200123,320000,江苏省,320100,南京市,3,0,0,0
20200123,320000,江苏省,320200,无锡市,1,0,0,0
20200123,320000,江苏省,320500,苏州市,2,0,0,0
20200123,320000,江苏省,320600,南通市,1,0,0,0
20200123,320000,江苏省,320700,连云港市,1,0,0,0
20200123,320000,江苏省,321000,扬州市,1,0,0,0
20200123,330000,浙江省,330100,杭州市,6,0,0,0
20200123,330000,浙江省,330200,宁波市,5,0,0,0
20200123,330000,浙江省,330300,温州市,1,0,1,0
20200123,330000,浙江省,330400,嘉兴市,1,0,0,0
20200123,330000,浙江省,330600,绍兴市,1,0,0,0
20200123,330000,浙江省,330700,金华市,1,0,0,0
20200123,330000,浙江省,330800,衢州市,2,0,0,0
20200123,330000,浙江省,330900,舟山市,1,0,0,0
20200123,330000,浙江省,331000,台州市,4,0,0,0
20200123,340000,安徽省,340100,合肥市,6,0,0,0
20200123,340000,安徽省,340300,蚌埠市,1,0,0,0
20200123,340000,安徽省,340800,安庆市,1,0,0,0
20200123,340000,安徽省,341100,滁州市,1,0,0,0
20200123,340000,安徽省,341200,阜阳市,2,0,0,0
20200123,340000,安徽省,341500,六安市,2,0,0,0
20200123,340000,安徽省,341600,亳州市,1,0,0,0
20200123,340000,安徽省,341700,池州市,1,0,0,0
20200123,350000,福建省,350100,福州市,1,0,0,0
20200123,350000,福建省,350200,厦门市,1,0,0,0
20200123,350000,福建省,350500,泉州市,1,0,0,0
20200123,350000,福建省,350900,宁德市,1,0,0,0
20200123,360000,江西省,360100,南昌市,2,0,0,0
20200123,360000,江西省,360300,萍乡市,1,0,0,0
20200123,360000,江西省,360400,九江市,1,0,0,0
20200123,360000,江西省,360500,新余市,1,0,0,0
20200123,360000,江西省,360800,吉安市,1,0,0,0
20200123,360000,江西省,361000,抚州市,1,0,0,0
20200123,370000,山东省,370200,青岛市,3,0,0,0
20200123,370000,山东省,370700,潍坊市,1,0,0,0
20200123,370000,山东省,371000,威海市,2,0,0,0
20200123,370000,山东省,371100,日照市,1,0,0,0
20200123,370000,山东省,371300,临沂市,2,0,0,0
20200123,410000,河南省,410100,郑州市,3,0,0,0
20200123,410000,河南省,410181,巩义市,2,0,0,0
20200123,410000,河南省,410300,洛阳市,1,0,0,0
20200123,410000,河南省,411200,三门峡市,1,0,0,0
20200123,410000,河南省,411500,信阳市,1,0,0,0
20200123,410000,河南省,411600,周口市,1,0,0,0
20200123,420000,湖北省,420100,武汉市,495,0,0,0
20200123,420000,湖北省,420300,十堰市,1,0,0,0
20200123,420000,湖北省,420500,宜昌市,1,0,0,0
20200123,420000,湖北省,420800,荆门市,8,0,0,0
20200123,420000,湖北省,420900,孝感市,22,0,0,0
20200123,420000,湖北省,421000,荆州市,8,0,0,0
20200123,420000,湖北省,421100,黄冈市,12,0,0,0
20200123,420000,湖北省,429004,仙桃市,2,0,0,0
20200123,430000,湖南省,430100,长沙市,8,0,0,0
20200123,430000,湖南省,430200,株洲市,1,0,0,0
20200123,430000,湖南省,430300,湘潭市,1,0,0,0
20200123,430000,湖南省,430600,岳阳市,3,0,0,0
20200123,430000,湖南省,431000,郴州市,1,0,0,0
20200123,430000,湖南省,431100,永州市,4,0,0,0
20200123,430000,湖南省,431200,怀化市,3,0,0,0
20200123,430000,湖南省,431300,娄底市,3,0,0,0
20200123,440000,广东省,440100,广州市,7,0,0,0
20200123,440000,广东省,440200,韶关市,3,0,0,0
20200123,440000,广东省,440300,深圳市,15,0,2,0
20200123,440000,广东省,440400,珠海市,8,0,0,0
20200123,440000,广东省,440600,佛山市,6,0,0,0
20200123,440000,广东省,440800,湛江市,2,0,0,0
20200123,440000,广东省,441200,肇庆市,1,0,0,0
20200123,440000,广东省,441300,惠州市,5,0,0,0
20200123,440000,广东省,441700,阳江市,3,0,0,0
20200123,440000,广东省,441800,清远市,1,0,0,0
20200123,440000,广东省,442000,中山市,2,0,0,0
20200123,450000,广西壮族自治区,450200,柳州市,2,0,0,0
20200123,450000,广西壮族自治区,450300,桂林市,2,0,0,0
20200123,450000,广西壮族自治区,450400,梧州市,1,0,0,0
20200123,450000,广西壮族自治区,450500,北海市,6,0,0,0
20200123,450000,广西壮族自治区,451000,百色市,1,0,0,0
20200123,450000,广西壮族自治区,451200,河池市,1,0,0,0
20200123,460000,海南省,460100,海口市,3,0,0,0
20200123,460000,海南省,460200,三亚市,2,0,0,0
20200123,460000,海南省,469006,万宁市,2,0,0,0
20200123,460000,海南省,469024,临高县,1,0,0,0
20200123,500000,重庆市,500101,万州区,3,0,0,0
20200123,500000,重庆市,500102,涪陵区,1,0,0,0
20200123,500000,重庆市,500104,大渡口区,1,0,0,0
20200123,500000,重庆市,500107,九龙坡区,2,0,0,0
20200123,500000,重庆市,500112,渝北区,2,0,0,0
20200123,500000,重庆市,500115,长寿区,3,0,0,0
20200123,500000,重庆市,500118,永川区,2,0,0,0
20200123,500000,重庆市,500154,开州区,2,0,0,0
20200123,500000,重庆市,500231,垫江县,2,0,0,0
20200123,500000,重庆市,500233,忠县,1,0,0,0
20200123,500000,重庆市,500235,云阳县,1,0,0,0
20200123,500000,重庆市,500236,奉节县,1,0,0,0
20200123,500000,重庆市,500237,巫山县,3,0,0,0
20200123,500000,重庆市,500238,巫溪县,1,0,0,0
20200123,500000,重庆市,500241,秀山土家族苗族自治县,1,0,0,0
20200123,500000,重庆市,,两江新区,1,0,0,0
20200123,510000,四川省,510100,成都市,7,0,0,0
20200123,510000,四川省,510600,德阳市,1,0,0,0
20200123,510000,四川省,510700,绵阳市,2,0,0,0
20200123,510000,四川省,510900,遂宁市,1,0,0,0
20200123,510000,四川省,511600,广安市,2,0,0,0
20200123,510000,四川省,511700,达州市,1,0,0,0
20200123,510000,四川省,511800,雅安市,1,0,0,0
20200123,520000,贵州省,520100,贵阳市,1,0,0,0
20200123,520000,贵州省,520600,铜仁市,1,0,0,0
20200123,520000,贵州省,522700,黔南布依族苗族自治州,1,0,0,0
20200123,530000,云南省,530100,昆明市,2,0,0,0
20200123,610000,陕西省,610100,西安市,2,0,0,0
20200123,610000,陕西省,610400,咸阳市,1,0,0,0
20200123,610000,陕西省,610600,延安市,1,0,0,0
20200123,610000,陕西省,610900,安康市,1,0,0,0
20200123,620000,甘肃省,620100,兰州市,1,0,0,0
20200123,620000,甘肃省,620400,白银市,0,1,0,0
20200123,640000,宁夏回族自治区,640100,银川市,1,0,0,0
20200123,640000,宁夏回族自治区,640500,中卫市,1,0,0,0
20200123,650000,新疆维吾尔自治区,650100,乌鲁木齐市,2,0,0,0
20200124,110000,北京市,110102,西城区,4,0,0,0
20200124,110000,北京市,110105,朝阳区,5,0,0,0
20200124,110000,北京市,110106,丰台区,2,0,0,0
20200124,110000,北京市,110107,石景山区,1,0,0,0
20200124,110000,北京市,110108,海淀区,6,0,0,0
20200124,110000,北京市,110112,通州区,2,0,0,0
20200124,110000,北京市,110113,顺义区,1,0,0,0
20200124,110000,北京市,110114,昌平区,3,0,0,0
20200124,110000,北京市,110115,大兴区,2,0,0,0
20200124,110000,北京市,,外地来京,10,0,0,0
20200124,130000,河北省,130100,石家庄市,4,0,0,0
20200124,130000,河北省,130600,保定市,1,0,0,0
20200124,130000,河北省,130800,承德市,1,0,0,0
20200124,130000,河北省,130900,沧州市,2,0,0,1
20200124,140000,山西省,140100,太原市,2,0,0,0
20200124,140000,山西省,140200,大同市,1,0,0,0
20200124,140000,山西省,140400,长治市,1,0,0,0
20200124,140000,山西省,140800,运城市,2,0,0,0
20200124,150000,内蒙古自治区,150400,赤峰市,0,1,0,0
20200124,150000,内蒙古自治区,150600,鄂尔多斯市,0,2,0,0
20200124,150000,内蒙古自治区,150700,呼伦贝尔市,1,1,0,0
20200124,150000,内蒙古自治区,152500,锡林郭勒盟,1,1,0,0
20200124,210000,辽宁省,210100,沈阳市,3,0,0,0
20200124,210000,辽宁省,210200,大连市,2,0,0,0
20200124,210000,辽宁省,210500,本溪市,1,0,0,0
20200124,210000,辽宁省,211200,铁岭市,2,0,0,0
20200124,210000,辽宁省,211300,朝阳市,2,0,0,0
20200124,210000,辽宁省,211400,葫芦岛市,2,0,0,0
20200124,220000,吉林省,220100,长春市,1,0,0,0
20200124,220000,吉林省,220200,吉林市,2,0,0,0
20200124,220000,吉林省,220700,松原市,1,0,0,0
20200124,230000,黑龙江省,230100,哈尔滨市,6,0,0,0
20200124,230000,黑龙江省,230600,大庆市,1,0,0,0
20200124,230000,黑龙江省,231000,牡丹江市,1,0,0,0
20200124,230000,黑龙江省,231200,绥化市,1,0,0,1
20200124,320000,江苏省,320100,南京市,4,0,0,0
20200124,320000,江苏省,320200,无锡市,1,0,0,0
20200124,320000,江苏省,320400,常州市,5,0,0,0
20200124,320000,江苏省,320500,苏州市,3,0,1,0
20200124,320000,江苏省,320600,南通市,1,0,0,0
20200124,320000,江苏省,320700,连云港市,1,0,0,0
20200124,320000,江苏省,320900,盐城市,1,0,0,0
20200124,320000,江苏省,321000,扬州市,1,0,0,0
20200124,320000,江苏省,321300,宿迁市,1,0,0,0
20200124,330000,浙江省,330100,杭州市,12,0,0,0
20200124,330000,浙江省,330200,宁波市,6,0,0,0
20200124,330000,浙江省,330300,温州市,10,0,1,0
20200124,330000,浙江省,330400,嘉兴市,4,0,0,0
20200124,330000,浙江省,330600,绍兴市,4,0,0,0
20200124,330000,浙江省,330700,金华市,2,0,0,0
20200124,330000,浙江省,330800,衢州市,2,0,0,0
20200124,330000,浙江省,330900,舟山市,2,0,0,0
20200124,330000,浙江省,331000,台州市,20,0,0,0
20200124,340000,安徽省,340100,合肥市,10,0,0,0
20200124,340000,安徽省,340200,芜湖市,1,0,0,0
20200124,340000,安徽省,340300,蚌埠市,1,0,0,0
20200124,340000,安徽省,340500,马鞍山市,4,0,0,0
20200124,340000,安徽省,340700,铜陵市,3,0,0,0
20200124,340000,安徽省,340800,安庆市,4,0,0,0
20200124,340000,安徽省,341100,滁州市,2,0,0,0
20200124,340000,安徽省,341200,阜阳市,7,0,0,0
20200124,340000,安徽省,341500,六安市,2,0,0,0
20200124,340000,安徽省,341600,亳州市,4,0,0,0
20200124,340000,安徽省,341700,池州市,1,0,0,0
20200124,350000,福建省,350100,福州市,5,0,0,0
20200124,350000,福建省,350200,厦门市,3,2,0,0
20200124,350000,福建省,350400,三明市,0,1,0,0
20200124,350000,福建省,350500,泉州市,1,0,0,0
20200124,350000,福建省,350600,漳州市,0,1,0,0
20200124,350000,福建省,350900,宁德市,1,0,0,0
20200124,360000,江西省,360100,南昌市,3,0,0,0
20200124,360000,江西省,360200,景德镇市,1,0,0,0
20200124,360000,江西省,360300,萍乡市,1,0,0,0
20200124,360000,江西省,360400,九江市,2,0,0,0
20200124,360000,江西省,360500,新余市,1,0,0,0
20200124,360000,江西省,360700,赣州市,2,0,0,0
20200124,360000,江西省,360800,吉安市,1,0,0,0
20200124,360000,江西省,360900,宜春市,1,0,0,0
20200124,360000,江西省,361000,抚州市,4,0,0,0
20200124,360000,江西省,361100,上饶市,2,0,0,0
20200124,370000,山东省,370100,济南市,2,2,0,0
20200124,370000,山东省,370200,青岛市,4,1,0,0
20200124,370000,山东省,370600,烟台市,2,0,0,0
20200124,370000,山东省,370700,潍坊市,1,1,0,0
20200124,370000,山东省,370800,济宁市,2,2,0,0
20200124,370000,山东省,371000,威海市,3,2,0,0
20200124,370000,山东省,371100,日照市,2,0,0,0
20200124,370000,山东省,371300,临沂市,3,1,0,0
20200124,370000,山东省,371400,德州市,1,0,0,0
20200124,370000,山东省,371500,聊城市,1,0,0,0
20200124,370000,山东省,371600,滨州市,0,1,0,0
20200124,370000,山东省,371700,菏泽市,0,1,0,0
20200124,410000,河南省,410100,郑州市,6,0,0,0
20200124,410000,河南省,410181,巩义市,2,0,0,0
20200124,410000,河南省,410300,洛阳市,1,0,0,0
20200124,410000,河南省,410400,平顶山市,1,0,0,0
20200124,410000,河南省,410700,新乡市,1,0,0,0
20200124,410000,河南省,411200,三门峡市,1,0,0,0
20200124,410000,河南省,411300,南阳市,8,0,0,0
20200124,410000,河南省,411500,信阳市,5,0,0,0
20200124,410000,河南省,411525,固始县,1,0,0,0
20200124,410000,河南省,411600,周口市,4,0,0,0
20200124,410000,河南省,411700,驻马店市,2,0,0,0
20200124,420000,湖北省,420100,武汉市,572,0,0,38
20200124,420000,湖北省,420300,十堰市,5,0,0,0
20200124,420000,湖北省,420500,宜昌市,1,0,0,1
20200124,420000,湖北省,420700,鄂州市,1,0,0,0
20200124,420000,湖北省,420800,荆门市,21,0,0,0
20200124,420000,湖北省,420900,孝感市,26,0,0,0
20200124,420000,湖北省,421000,荆州市,10,0,0,0
20200124,420000,湖北省,421100,黄冈市,64,0,0,0
20200124,420000,湖北省,421300,随州市,5,0,0,0
20200124,420000,湖北省,422800,恩施土家族苗族自治州,11,0,0,0
20200124,420000,湖北省,429004,仙桃市,10,0,0,0
20200124,420000,湖北省,429006,天门市,3,0,0,0
20200124,430000,湖南省,430100,长沙市,8,0,0,0
20200124,430000,湖南省,430200,株洲市,1,0,0,0
20200124,430000,湖南省,430300,湘潭市,2,0,0,0
20200124,430000,湖南省,430400,衡阳市,3,0,0,0
20200124,430000,湖南省,430500,邵阳市,2,0,0,0
20200124,430000,湖南省,430600,岳阳市,5,0,0,0
20200124,430000,湖南省,430700,常德市,3,0,0,0
20200124,430000,湖南省,430900,益阳市,4,0,0,0
20200124,430000,湖南省,431000,郴州市,1,0,0,0
20200124,430000,湖南省,431100,永州市,4,0,0,0
20200124,430000,湖南省,431200,怀化市,5,0,0,0
20200124,430000,湖南省,431300,娄底市,5,0,0,0
20200124,440000,广东省,440100,广州市,14,0,0,0
20200124,440000,广东省,440200,韶关市,3,0,0,0
20200124,440000,广东省,440300,深圳市,20,0,2,0
20200124,440000,广东省,440400,珠海市,10,0,0,0
20200124,440000,广东省,440500,汕头市,1,0,0,0
20200124,440000,广东省,440600,佛山市,9,0,0,0
20200124,440000,广东省,440800,湛江市,2,0,0,0
20200124,440000,广东省,441200,肇庆市,2,0,0,0
20200124,440000,广东省,441300,惠州市,7,0,0,0
20200124,440000,广东省,441700,阳江市,5,0,0,0
20200124,440000,广东省,441800,清远市,2,0,0,0
20200124,440000,广东省,441900,东莞市,1,0,0,0
20200124,440000,广东省,442000,中山市,2,0,0,0
20200124,450000,广西壮族自治区,450200,柳州市,3,0,0,0
20200124,450000,广西壮族自治区,450300,桂林市,6,0,0,0
20200124,450000,广西壮族自治区,450400,梧州市,1,0,0,0
20200124,450000,广西壮族自治区,450500,北海市,6,0,0,0
20200124,450000,广西壮族自治区,450600,防城港市,2,0,0,0
20200124,450000,广西壮族自治区,450900,玉林市,1,0,0,0
20200124,450000,广西壮族自治区,451000,百色市,1,0,0,0
20200124,450000,广西壮族自治区,451200,河池市,3,0,0,0
20200124,460000,海南省,460100,海口市,3,0,0,0
20200124,460000,海南省,460200,三亚市,5,0,0,0
20200124,460000,海南省,460400,儋州市,3,0,0,0
20200124,460000,海南省,469006,万宁市,5,0,0,0
20200124,460000,海南省,469024,临高县,1,0,0,0
20200124,500000,重庆市,500101,万州区,10,0,0,0
20200124,500000,重庆市,500102,涪陵区,1,0,0,0
20200124,500000,重庆市,500104,大渡口区,2,0,0,0
20200124,500000,重庆市,500107,九龙坡区,3,0,0,0
20200124,500000,重庆市,500112,渝北区,2,0,0,0
20200124,500000,重庆市,500115,长寿区,5,0,0,0
20200124,500000,重庆市,500117,合川区,2,0,0,0
20200124,500000,重庆市,500118,永川区,3,0,0,0
20200124,500000,重庆市,500120,璧山区,2,0,0,0
20200124,500000,重庆市,500154,开州区,4,0,0,0
20200124,500000,重庆市,500155,梁平区,1,0,0,0
20200124,500000,重庆市,500229,城口县,1,0,0,0
20200124,500000,重庆市,500230,丰都县,1,0,0,0
20200124,500000,重庆市,500231,垫江县,2,0,0,0
20200124,500000,重庆市,500233,忠县,3,0,0,0
20200124,500000,重庆市,500235,云阳县,2,0,0,0
20200124,500000,重庆市,500236,奉节县,1,0,0,0
20200124,500000,重庆市,500237,巫山县,3,0,0,0
20200124,500000,重庆市,500238,巫溪县,2,0,0,0
20200124,500000,重庆市,500240,石柱土家族自治县,3,0,0,0
20200124,500000,重庆市,500241,秀山土家族苗族自治县,1,0,0,0
20200124,500000,重庆市,,两江新区,3,0,0,0
20200124,510000,四川省,510100,成都市,16,0,0,0
20200124,510000,四川省,510300,自贡市,1,0,0,0
20200124,510000,四川省,510500,泸州市,1,0,0,0
20200124,510000,四川省,510600,德阳市,1,0,0,0
20200124,510000,四川省,510700,绵阳市,2,0,0,0
20200124,510000,四川省,510900,遂宁市,2,0,0,0
20200124,510000,四川省,511000,内江市,1,0,0,0
20200124,510000,四川省,511600,广安市,2,0,0,0
20200124,510000,四川省,511700,达州市,1,0,0,0
20200124,510000,四川省,511800,雅安市,1,0,0,0
20200124,520000,贵州省,520100,贵阳市,1,0,0,0
20200124,520000,贵州省,520600,铜仁市,2,0,0,0
20200124,520000,贵州省,522700,黔南布依族苗族自治州,1,0,0,0
20200124,530000,云南省,530100,昆明市,3,0,0,0
20200124,530000,云南省,530700,丽江市,1,0,0,0
20200124,530000,云南省,532800,西双版纳傣族自治州,1,0,0,0
20200124,630000,青海省,630100,西宁市,0,1,0,0
20200124,640000,宁夏回族自治区,640100,银川市,1,0,0,0
20200124,640000,宁夏回族自治区,640400,固原市,1,0,0,0
20200124,640000,宁夏回族自治区,640500,中卫市,1,0,0,0
20200124,650000,新疆维吾尔自治区,650100,乌鲁木齐市,3,0,0,0
